term,id,preferred term
c,trm_523e00f356226,conduct disorder
a,trm_523e00f356226,conduct disorder
l,trm_523e00f356226,conduct disorder
l,trm_523e00f356226,conduct disorder
o,trm_523e00f356226,conduct disorder
u,trm_523e00f356226,conduct disorder
s,trm_523e00f356226,conduct disorder
",",trm_523e00f356226,conduct disorder
a,trm_523e00f356226,conduct disorder
x,trm_4aae62e4ad209,cognitive control
n,trm_523e00f356226,conduct disorder
t,trm_523e00f356226,conduct disorder
i,trm_523e00f356226,conduct disorder
s,trm_523e00f356226,conduct disorder
o,trm_523e00f356226,conduct disorder
c,trm_523e00f356226,conduct disorder
i,trm_523e00f356226,conduct disorder
a,trm_523e00f356226,conduct disorder
l,trm_523e00f356226,conduct disorder
e,trm_4c8a85a4564b2,word stem completion (overt)
e,trm_4aae62e4ad209,cognitive control
 ,trm_4a3fd79d09d64,cognitive load
f,trm_4aae62e4ad209,cognitive control
c,trm_4a3fd79d09d64,cognitive load
a,trm_4a3fd79d09d64,cognitive load
p,trm_4a3fd79d09d64,cognitive load
a,trm_4a3fd79d09d64,cognitive load
c,trm_4a3fd79d09d64,cognitive load
i,trm_4a3fd79d09d64,cognitive load
t,trm_4a3fd79d09d64,cognitive load
y,trm_4a3fd79d09d64,cognitive load
u,trm_4aae62e4ad209,cognitive control
 ,trm_4aae62e4ad209,cognitive control
c,trm_4aae62e4ad209,cognitive control
e,trm_4aae62e4ad209,cognitive control
v,trm_4aae62e4ad209,cognitive control
i,trm_4aae62e4ad209,cognitive control
t,trm_4aae62e4ad209,cognitive control
u,trm_4aae62e4ad209,cognitive control
o,trm_4c8a85a4564b2,word stem completion (overt)
c,trm_4c8a85a4564b2,word stem completion (overt)
 ,trm_4c8a85a4564b2,word stem completion (overt)
m,trm_4c8a85a4564b2,word stem completion (overt)
S,trm_4c8a858da803d,word stem completion (covert)
W,trm_4c8a858da803d,word stem completion (covert)
x,trm_4aae62e4ad209,cognitive control
t,trm_523e034f9e69a,defiance
t,trm_4fe9fae4321e7,difference threshold
 ,trm_4fe9fae4321e7,difference threshold
n,trm_4fe9fae4321e7,difference threshold
o,trm_4fe9fae4321e7,difference threshold
t,trm_4fe9fae4321e7,difference threshold
i,trm_4fe9fae4321e7,difference threshold
c,trm_4fe9fae4321e7,difference threshold
e,trm_4fe9fae4321e7,difference threshold
a,trm_4fe9fae4321e7,difference threshold
b,trm_4fe9fae4321e7,difference threshold
l,trm_4fe9fae4321e7,difference threshold
e,trm_4fe9fae4321e7,difference threshold
 ,trm_4fe9fae4321e7,difference threshold
d,trm_4fe9fae4321e7,difference threshold
i,trm_4fe9fae4321e7,difference threshold
f,trm_4fe9fae4321e7,difference threshold
f,trm_4fe9fae4321e7,difference threshold
e,trm_4fe9fae4321e7,difference threshold
r,trm_4fe9fae4321e7,difference threshold
e,trm_4fe9fae4321e7,difference threshold
n,trm_4fe9fae4321e7,difference threshold
s,trm_4fe9fae4321e7,difference threshold
k,trm_4c8a85a4564b2,word stem completion (overt)
u,trm_4fe9fae4321e7,difference threshold
d,trm_4fa28299dbddd,deliberation
o,trm_523e034f9e69a,defiance
n,trm_523e034f9e69a,defiance
a,trm_523e034f9e69a,defiance
l,trm_523e034f9e69a,defiance
c,trm_4fa28299dbddd,deliberation
o,trm_4fa28299dbddd,deliberation
n,trm_4fa28299dbddd,deliberation
s,trm_4fa28299dbddd,deliberation
i,trm_4fa28299dbddd,deliberation
e,trm_4fa28299dbddd,deliberation
j,trm_4fe9fae4321e7,difference threshold
r,trm_4fa28299dbddd,deliberation
a,trm_4fa28299dbddd,deliberation
t,trm_4fa28299dbddd,deliberation
i,trm_4fa28299dbddd,deliberation
o,trm_4fa28299dbddd,deliberation
n,trm_4fa28299dbddd,deliberation
a,trm_4c8a85a4564b2,word stem completion (overt)
s,trm_4c8a85a4564b2,word stem completion (overt)
e,trm_53c4465b0466f,why/how task
c,trm_4fe9fae4321e7,difference threshold
e,trm_4fe9fae4321e7,difference threshold
",",trm_4fe9fae4321e7,difference threshold
p,trm_525d8b8908809,eating
p,trm_55e1b08e5b06c,dyslexia
a,trm_55e1b08e5b06c,dyslexia
i,trm_55e1b08e5b06c,dyslexia
r,trm_55e1b08e5b06c,dyslexia
m,trm_55e1b08e5b06c,dyslexia
e,trm_55e1b08e5b06c,dyslexia
n,trm_55e1b08e5b06c,dyslexia
t,trm_55e1b08e5b06c,dyslexia
a,trm_525d8b8908809,eating
p,trm_525d8b8908809,eating
i,trm_55e1b08e5b06c,dyslexia
e,trm_525d8b8908809,eating
t,trm_525d8b8908809,eating
i,trm_525d8b8908809,eating
t,trm_525d8b8908809,eating
e,trm_525d8b8908809,eating
",",trm_525d8b8908809,eating
 ,trm_525d8b8908809,eating
f,trm_525d8b8908809,eating
o,trm_525d8b8908809,eating
m,trm_55e1b08e5b06c,dyslexia
 ,trm_55e1b08e5b06c,dyslexia
 ,trm_4fe9fae4321e7,difference threshold
W,trm_4c8a85a4564b2,word stem completion (overt)
J,trm_4fe9fae4321e7,difference threshold
N,trm_4fe9fae4321e7,difference threshold
D,trm_4fe9fae4321e7,difference threshold
z,trm_53c4465b0466f,why/how task
i,trm_53c4465b0466f,why/how task
",",trm_4c8a85a4564b2,word stem completion (overt)
l,trm_53c4465b0466f,why/how task
a,trm_53c4465b0466f,why/how task
 ,trm_4c8a85a4564b2,word stem completion (overt)
S,trm_4c8a85a4564b2,word stem completion (overt)
g,trm_55e1b08e5b06c,dyslexia
s,trm_4ff1fc04e22e8,autonoesis
s,trm_4ff1fc04e22e8,autonoesis
e,trm_4ff1fc04e22e8,autonoesis
r,trm_55e1b08e5b06c,dyslexia
e,trm_55e1b08e5b06c,dyslexia
a,trm_55e1b08e5b06c,dyslexia
d,trm_55e1b08e5b06c,dyslexia
i,trm_55e1b08e5b06c,dyslexia
n,trm_55e1b08e5b06c,dyslexia
i,trm_523e034f9e69a,defiance
i,trm_523e034f9e69a,defiance
e,trm_4aae62e4ad209,cognitive control
s,trm_523e034f9e69a,defiance
i,trm_4f3bdeedcc99d,curiosity
s,trm_4f3bdeedcc99d,curiosity
i,trm_4f3bdeedcc99d,curiosity
t,trm_4f3bdeedcc99d,curiosity
i,trm_4f3bdeedcc99d,curiosity
v,trm_4f3bdeedcc99d,curiosity
e,trm_4f3bdeedcc99d,curiosity
n,trm_4f3bdeedcc99d,curiosity
e,trm_4f3bdeedcc99d,curiosity
s,trm_4f3bdeedcc99d,curiosity
s,trm_4f3bdeedcc99d,curiosity
g,trm_5029515e29f7f,blindsight
i,trm_5029515e29f7f,blindsight
s,trm_5029515e29f7f,blindsight
 ,trm_5029515e29f7f,blindsight
T,tsk_4a57abb949f21,wisconsin card sorting test
S,tsk_4a57abb949f21,wisconsin card sorting test
d,trm_567982752ff4a,decision under uncertainty
e,trm_567982752ff4a,decision under uncertainty
c,trm_567982752ff4a,decision under uncertainty
i,trm_567982752ff4a,decision under uncertainty
u,trm_4f3bdeedcc99d,curiosity
q,trm_4f3bdeedcc99d,curiosity
n,trm_4f3bdeedcc99d,curiosity
-,trm_4e31d2241319f,crossmodal
e,trm_4c8a85a4564b2,word stem completion (overt)
t,trm_4c8a85a4564b2,word stem completion (overt)
i,trm_4c8a85a4564b2,word stem completion (overt)
o,trm_4c8a85a4564b2,word stem completion (overt)
c,trm_4e31d2241319f,crossmodal
r,trm_4e31d2241319f,crossmodal
o,trm_4e31d2241319f,crossmodal
s,trm_4e31d2241319f,crossmodal
s,trm_4e31d2241319f,crossmodal
m,trm_4e31d2241319f,crossmodal
i,trm_4f3bdeedcc99d,curiosity
o,trm_4e31d2241319f,crossmodal
d,trm_4e31d2241319f,crossmodal
a,trm_4e31d2241319f,crossmodal
l,trm_4e31d2241319f,crossmodal
n,trm_4c8a85a4564b2,word stem completion (overt)
 ,trm_4c8a85a4564b2,word stem completion (overt)
t,trm_4c8a85a4564b2,word stem completion (overt)
t,trm_5029515e29f7f,blindsight
h,trm_5029515e29f7f,blindsight
s,trm_567982752ff4a,decision under uncertainty
i,trm_567982752ff4a,decision under uncertainty
o,trm_567982752ff4a,decision under uncertainty
d,trm_523e034f9e69a,defiance
M,trm_5159c18bc2e34,default mode network
N,trm_5159c18bc2e34,default mode network
r,trm_53c4465b0466f,why/how task
d,trm_523e034f9e69a,defiance
i,trm_523e034f9e69a,defiance
s,trm_523e034f9e69a,defiance
o,trm_523e034f9e69a,defiance
b,trm_523e034f9e69a,defiance
e,trm_523e034f9e69a,defiance
i,trm_523e034f9e69a,defiance
b,trm_5029515e29f7f,blindsight
e,trm_523e034f9e69a,defiance
n,trm_523e034f9e69a,defiance
t,trm_523e034f9e69a,defiance
",",trm_523e034f9e69a,defiance
 ,trm_523e034f9e69a,defiance
o,trm_523e034f9e69a,defiance
p,trm_523e034f9e69a,defiance
p,trm_523e034f9e69a,defiance
o,trm_523e034f9e69a,defiance
D,trm_5159c18bc2e34,default mode network
l,trm_5029515e29f7f,blindsight
n,trm_567982752ff4a,decision under uncertainty
b,trm_567982752ff4a,decision under uncertainty
 ,trm_567982752ff4a,decision under uncertainty
u,trm_567982752ff4a,decision under uncertainty
n,trm_567982752ff4a,decision under uncertainty
d,trm_567982752ff4a,decision under uncertainty
e,trm_567982752ff4a,decision under uncertainty
r,trm_567982752ff4a,decision under uncertainty
 ,trm_567982752ff4a,decision under uncertainty
a,trm_567982752ff4a,decision under uncertainty
m,trm_567982752ff4a,decision under uncertainty
i,trm_567982752ff4a,decision under uncertainty
i,trm_5029515e29f7f,blindsight
g,trm_567982752ff4a,decision under uncertainty
u,trm_567982752ff4a,decision under uncertainty
i,trm_567982752ff4a,decision under uncertainty
t,trm_567982752ff4a,decision under uncertainty
y,trm_567982752ff4a,decision under uncertainty
C,tsk_4a57abb949f21,wisconsin card sorting test
d,trm_5029515e29f7f,blindsight
n,trm_5029515e29f7f,blindsight
W,tsk_4a57abb949f21,wisconsin card sorting test
s,trm_4fe3861edc919,inattentional blindness
s,trm_557b476527a27,auditory tone discrimination
i,trm_557b476527a27,auditory tone discrimination
d,trm_4a3fd79d0aab0,object recognition
t,trm_525d8f3ed78a2,noise sensitivity
y,trm_525d8f3ed78a2,noise sensitivity
S,trm_4da6338803ed2,wechsler intelligence scale for children - revised
I,trm_4da6338803ed2,wechsler intelligence scale for children - revised
a,trm_510059e54b2cf,attentional bias
W,trm_4da6338803ed2,wechsler intelligence scale for children - revised
 ,trm_4da6338803ed2,wechsler intelligence scale for children - revised
",",trm_4da6338803ed2,wechsler intelligence scale for children - revised
C,trm_4da6338803ed2,wechsler intelligence scale for children - revised
i,trm_510059e54b2cf,attentional bias
b,trm_510059e54b2cf,attentional bias
S,trm_4da6338803ed2,wechsler intelligence scale for children - revised
 ,trm_510059e54b2cf,attentional bias
n,trm_510059e54b2cf,attentional bias
o,trm_4a3fd79d0aab0,object recognition
b,trm_4a3fd79d0aab0,object recognition
j,trm_4a3fd79d0aab0,object recognition
e,trm_4a3fd79d0aab0,object recognition
c,trm_4a3fd79d0aab0,object recognition
t,trm_4a3fd79d0aab0,object recognition
 ,trm_4a3fd79d0aab0,object recognition
i,trm_525d8f3ed78a2,noise sensitivity
v,trm_525d8f3ed78a2,noise sensitivity
i,trm_525d8f3ed78a2,noise sensitivity
i,trm_525d8f3ed78a2,noise sensitivity
n,trm_4ffdc96dc85b7,noesis
e,trm_4ffdc96dc85b7,noesis
s,trm_4ffdc96dc85b7,noesis
s,trm_4ffdc96dc85b7,noesis
A,trm_4fea1aeaa7b17,attentional blink
a,trm_525d8f3ed78a2,noise sensitivity
s,trm_510059e54b2cf,attentional bias
u,trm_525d8f3ed78a2,noise sensitivity
d,trm_525d8f3ed78a2,noise sensitivity
t,trm_525d8f3ed78a2,noise sensitivity
t,trm_525d8f3ed78a2,noise sensitivity
o,trm_525d8f3ed78a2,noise sensitivity
r,trm_525d8f3ed78a2,noise sensitivity
y,trm_525d8f3ed78a2,noise sensitivity
 ,trm_525d8f3ed78a2,noise sensitivity
s,trm_525d8f3ed78a2,noise sensitivity
e,trm_525d8f3ed78a2,noise sensitivity
n,trm_525d8f3ed78a2,noise sensitivity
s,trm_525d8f3ed78a2,noise sensitivity
i,trm_525d8f3ed78a2,noise sensitivity
i,trm_4a3fd79d0aab0,object recognition
e,trm_4a3fd79d0aab0,object recognition
i,trm_4a3fd79d0a579,induction
n,trm_4a3fd79d0aab0,object recognition
c,trm_557b491318742,oddball detection
t,trm_557b491318742,oddball detection
i,trm_557b491318742,oddball detection
o,trm_557b491318742,oddball detection
n,trm_557b491318742,oddball detection
",",trm_557b491318742,oddball detection
 ,trm_557b491318742,oddball detection
a,trm_557b491318742,oddball detection
n,trm_557b491318742,oddball detection
o,trm_557b491318742,oddball detection
i,trm_510059e54b2cf,attentional bias
m,trm_557b491318742,oddball detection
a,trm_557b491318742,oddball detection
l,trm_557b491318742,oddball detection
y,trm_557b491318742,oddball detection
 ,trm_557b491318742,oddball detection
d,trm_557b491318742,oddball detection
e,trm_557b491318742,oddball detection
t,trm_557b491318742,oddball detection
e,trm_557b491318742,oddball detection
c,trm_557b491318742,oddball detection
e,trm_557b491318742,oddball detection
t,trm_557b491318742,oddball detection
e,trm_557b491318742,oddball detection
n,trm_4a3fd79d0aab0,object recognition
t,trm_4a3fd79d0aab0,object recognition
i,trm_4a3fd79d0aab0,object recognition
f,trm_4a3fd79d0aab0,object recognition
i,trm_4a3fd79d0aab0,object recognition
c,trm_4a3fd79d0aab0,object recognition
a,trm_4a3fd79d0aab0,object recognition
t,trm_4a3fd79d0aab0,object recognition
i,trm_4a3fd79d0aab0,object recognition
o,trm_4a3fd79d0aab0,object recognition
I,trm_4da6338803ed2,wechsler intelligence scale for children - revised
d,trm_557b491318742,oddball detection
o,trm_510059e54b2cf,attentional bias
o,trm_557b491318742,oddball detection
u,trm_557b491318742,oddball detection
t,trm_557b491318742,oddball detection
l,trm_557b491318742,oddball detection
i,trm_557b491318742,oddball detection
e,trm_557b491318742,oddball detection
r,trm_557b491318742,oddball detection
 ,trm_557b491318742,oddball detection
s,trm_4ffdc96dc85b7,noesis
u,trm_4ffdc96dc85b7,noesis
o,trm_4ffdc96dc85b7,noesis
i,trm_4ffdc96dc85b7,noesis
t,trm_4f241ee9c4e37,word-picture matching task
y,trm_4a3fd79d0995e,audition
r,trm_4a3fd79d0995e,audition
m,trm_4a3fd79d0a9a1,motor planning
o,trm_4a3fd79d0a9a1,motor planning
v,trm_4a3fd79d0a9a1,motor planning
e,trm_4a3fd79d0a9a1,motor planning
m,trm_4a3fd79d0a9a1,motor planning
o,trm_4a3fd79d0995e,audition
t,trm_4a3fd79d0995e,audition
e,trm_4a3fd79d0a9a1,motor planning
n,trm_4a3fd79d0a9a1,motor planning
t,trm_4a3fd79d0a9a1,motor planning
 ,trm_4a3fd79d0a9a1,motor planning
p,trm_4a3fd79d0a9a1,motor planning
l,trm_4a3fd79d0a9a1,motor planning
a,trm_4a3fd79d0a9a1,motor planning
n,trm_4a3fd79d0a9a1,motor planning
n,trm_4a3fd79d0a9a1,motor planning
i,trm_4a3fd79d0a9a1,motor planning
n,trm_4a3fd79d0a9a1,motor planning
a,trm_4f241ee9c4e37,word-picture matching task
m,trm_4f241ee9c4e37,word-picture matching task
 ,trm_4f241ee9c4e37,word-picture matching task
o,trm_557b474e2b578,auditory tone detection
u,trm_4a3fd79d0a886,melody
n,trm_4a3fd79d0a886,melody
e,trm_4a3fd79d0a886,melody
d,trm_557b474e2b578,auditory tone detection
s,trm_4da63357e4999,wechsler memory scale (iv)
 ,trm_557b474e2b578,auditory tone detection
d,trm_557b474e2b578,auditory tone detection
n,trm_557b474e2b578,auditory tone detection
u,trm_557b474e2b578,auditory tone detection
s,trm_557b474e2b578,auditory tone detection
W,trm_4da63357e4999,wechsler memory scale (iv)
h,trm_4da63357e4999,wechsler memory scale (iv)
e,trm_4f241ee9c4e37,word-picture matching task
-,trm_4f241ee9c4e37,word-picture matching task
c,trm_4da63357e4999,wechsler memory scale (iv)
w,trm_4f241ee9c4e37,word-picture matching task
o,trm_4f241ee9c4e37,word-picture matching task
r,trm_4f241ee9c4e37,word-picture matching task
e,trm_4da63357e4999,wechsler memory scale (iv)
d,trm_4f241ee9c4e37,word-picture matching task
g,trm_4a3fd79d0a9a1,motor planning
i,trm_4a3fd79d0995e,audition
M,trm_56a2a4dbdf127,motor praxis
o,trm_4ffdc96dc85b7,noesis
a,trm_4a3fd79d0995e,audition
I,trm_4da6338803ed2,wechsler intelligence scale for children - revised
-,trm_4da6338803ed2,wechsler intelligence scale for children - revised
c,trm_4f241ee9c4e37,word-picture matching task
C,trm_4da6338803ed2,wechsler intelligence scale for children - revised
h,trm_4f241ee9c4e37,word-picture matching task
i,trm_4f241ee9c4e37,word-picture matching task
B,trm_4fea1aeaa7b17,attentional blink
n,trm_4ffdc96dc85b7,noesis
e,trm_4ffdc96dc85b7,noesis
u,trm_4a3fd79d0995e,audition
t,trm_4ffdc96dc85b7,noesis
i,trm_4ffdc96dc85b7,noesis
c,trm_4ffdc96dc85b7,noesis
 ,trm_4ffdc96dc85b7,noesis
c,trm_4ffdc96dc85b7,noesis
o,trm_4ffdc96dc85b7,noesis
n,trm_4ffdc96dc85b7,noesis
s,trm_4ffdc96dc85b7,noesis
c,trm_4ffdc96dc85b7,noesis
V,trm_4da6338803ed2,wechsler intelligence scale for children - revised
d,trm_4a3fd79d0995e,audition
p,trm_56a2a4dbdf127,motor praxis
u,trm_56a2a4dbdf127,motor praxis
r,trm_56a2a4dbdf127,motor praxis
a,trm_56a2a4dbdf127,motor praxis
x,trm_56a2a4dbdf127,motor praxis
i,trm_56a2a4dbdf127,motor praxis
s,trm_56a2a4dbdf127,motor praxis
",",trm_56a2a4dbdf127,motor praxis
 ,trm_56a2a4dbdf127,motor praxis
M,trm_56a2a4dbdf127,motor praxis
o,trm_56a2a4dbdf127,motor praxis
s,trm_56a2a4dbdf127,motor praxis
e,trm_56a2a4dbdf127,motor praxis
e,trm_56a2a4dbdf127,motor praxis
 ,trm_56a2a4dbdf127,motor praxis
P,trm_56a2a4dbdf127,motor praxis
r,trm_56a2a4dbdf127,motor praxis
a,trm_56a2a4dbdf127,motor praxis
c,trm_56a2a4dbdf127,motor praxis
t,trm_56a2a4dbdf127,motor praxis
i,trm_56a2a4dbdf127,motor praxis
c,trm_56a2a4dbdf127,motor praxis
t,trm_557b491318742,oddball detection
i,trm_557b491318742,oddball detection
o,trm_557b491318742,oddball detection
l,trm_4a3fd79d0ab70,pavlovian conditioning
 ,trm_4a3fd79d0ab70,pavlovian conditioning
c,trm_4a3fd79d0ab70,pavlovian conditioning
o,trm_4a3fd79d0ab70,pavlovian conditioning
n,trm_4a3fd79d0ab70,pavlovian conditioning
d,trm_4a3fd79d0ab70,pavlovian conditioning
i,trm_4a3fd79d0ab70,pavlovian conditioning
t,trm_4a3fd79d0ab70,pavlovian conditioning
i,trm_4a3fd79d0ab70,pavlovian conditioning
o,trm_4a3fd79d0ab70,pavlovian conditioning
n,trm_4a3fd79d0ab70,pavlovian conditioning
i,trm_4a3fd79d0ab70,pavlovian conditioning
n,trm_4a3fd79d0ab70,pavlovian conditioning
g,trm_4a3fd79d0ab70,pavlovian conditioning
l,trm_4a3fd79d0ba19,articulatory loop
a,trm_4a3fd79d0ba19,articulatory loop
s,trm_4f2449bdcb0b1,wason card selection task
c,trm_4a3fd79d0ba19,articulatory loop
a,trm_4f2449bdcb0b1,wason card selection task
t,trm_4f2449bdcb0b1,wason card selection task
i,trm_4a3fd79d0ba19,articulatory loop
 ,trm_4f2449bdcb0b1,wason card selection task
t,trm_4a3fd79d0ab70,pavlovian conditioning
n,trm_4a3fd79d0ab70,pavlovian conditioning
e,trm_4a3fd79d0ab70,pavlovian conditioning
i,trm_4a3fd79d0ab70,pavlovian conditioning
c,trm_4a3fd79d0ab70,pavlovian conditioning
o,trm_4a3fd79d0ab70,pavlovian conditioning
n,trm_4a3fd79d0ab70,pavlovian conditioning
d,trm_4a3fd79d0ab70,pavlovian conditioning
i,trm_4a3fd79d0ab70,pavlovian conditioning
t,trm_4a3fd79d0ab70,pavlovian conditioning
i,trm_4a3fd79d0ab70,pavlovian conditioning
o,trm_4a3fd79d0ab70,pavlovian conditioning
n,trm_4a3fd79d0ab70,pavlovian conditioning
n,trm_4a3fd79d0ab70,pavlovian conditioning
d,trm_4a3fd79d0ab70,pavlovian conditioning
g,trm_4a3fd79d0ab70,pavlovian conditioning
",",trm_4a3fd79d0ab70,pavlovian conditioning
 ,trm_4a3fd79d0ab70,pavlovian conditioning
r,trm_4a3fd79d0ab70,pavlovian conditioning
e,trm_4a3fd79d0ab70,pavlovian conditioning
s,trm_4a3fd79d0ab70,pavlovian conditioning
p,trm_4a3fd79d0ab70,pavlovian conditioning
o,trm_4a3fd79d0ab70,pavlovian conditioning
n,trm_4a3fd79d0ab70,pavlovian conditioning
g,trm_4a3fd79d0ba19,articulatory loop
o,trm_4a3fd79d0ba19,articulatory loop
n,trm_4f2449bdcb0b1,wason card selection task
s,trm_4f2449bdcb0b1,wason card selection task
e,trm_557b493133416,place maintenance
n,trm_557b493133416,place maintenance
a,trm_557b493133416,place maintenance
n,trm_557b493133416,place maintenance
c,trm_557b493133416,place maintenance
e,trm_557b493133416,place maintenance
",",trm_4f2449bdcb0b1,wason card selection task
p,trm_4a3fd79d0ba19,articulatory loop
k,trm_4f2449bdcb0b1,wason card selection task
p,trm_557b495cdde57,potential monetary reward
n,trm_557b493133416,place maintenance
o,trm_557b495cdde57,potential monetary reward
t,trm_557b495cdde57,potential monetary reward
e,trm_557b495cdde57,potential monetary reward
n,trm_557b495cdde57,potential monetary reward
t,trm_557b495cdde57,potential monetary reward
i,trm_557b495cdde57,potential monetary reward
a,trm_557b495cdde57,potential monetary reward
l,trm_557b495cdde57,potential monetary reward
 ,trm_557b495cdde57,potential monetary reward
t,trm_557b493133416,place maintenance
i,trm_557b493133416,place maintenance
o,trm_4f2449bdcb0b1,wason card selection task
s,trm_4f2449bdcb0b1,wason card selection task
l,trm_4c8a85a4564b2,word stem completion (overt)
t,trm_4f2449bdcb0b1,wason card selection task
c,trm_4f2449bdcb0b1,wason card selection task
l,trm_4a3fd79d0ba19,articulatory loop
e,trm_4f2449bdcb0b1,wason card selection task
l,trm_4f2449bdcb0b1,wason card selection task
o,trm_4a3fd79d0ba19,articulatory loop
n,trm_4a3fd79d0ba19,articulatory loop
e,trm_4f2449bdcb0b1,wason card selection task
 ,trm_4f2449bdcb0b1,wason card selection task
a,trm_557b493133416,place maintenance
o,trm_4a3fd79d0ba19,articulatory loop
h,trm_4a3fd79d0ba19,articulatory loop
s,trm_557b493133416,place maintenance
c,trm_557b493133416,place maintenance
e,trm_557b493133416,place maintenance
n,trm_557b493133416,place maintenance
e,trm_557b493133416,place maintenance
 ,trm_557b493133416,place maintenance
m,trm_557b493133416,place maintenance
 ,trm_4a3fd79d0ab70,pavlovian conditioning
a,trm_4a3fd79d0ab70,pavlovian conditioning
n,trm_557b491318742,oddball detection
c,trm_4a3fd79d0ab70,pavlovian conditioning
r,trm_523f5f918cb2c,openness
n,trm_510059e54b2cf,attentional bias
e,trm_510059e54b2cf,attentional bias
i,trm_523f5f918cb2c,openness
o,trm_523f5f918cb2c,openness
u,trm_523f5f918cb2c,openness
s,trm_523f5f918cb2c,openness
t,trm_510059e54b2cf,attentional bias
t,trm_510059e54b2cf,attentional bias
v,trm_4fb2c38960950,optical illusion
i,trm_4fb2c38960950,optical illusion
s,trm_4fb2c38960950,optical illusion
u,trm_4fb2c38960950,optical illusion
a,trm_4fb2c38960950,optical illusion
l,trm_4fb2c38960950,optical illusion
 ,trm_4fb2c38960950,optical illusion
i,trm_4fb2c38960950,optical illusion
l,trm_4fb2c38960950,optical illusion
l,trm_4fb2c38960950,optical illusion
u,trm_4fb2c38960950,optical illusion
s,trm_4fb2c38960950,optical illusion
t,trm_510059e54b2cf,attentional bias
u,trm_523f5f918cb2c,openness
c,trm_523f5f918cb2c,openness
t,trm_523f5f918cb2c,openness
W,trm_4da6338803ed2,wechsler intelligence scale for children - revised
S,tsk_4a57abb949f12,wechsler adult intelligence scale - revised
i,trm_523f5f918cb2c,openness
m,trm_523f5f918cb2c,openness
a,trm_523f5f918cb2c,openness
g,trm_523f5f918cb2c,openness
i,trm_523f5f918cb2c,openness
n,trm_523f5f918cb2c,openness
a,trm_523f5f918cb2c,openness
i,trm_523f5f918cb2c,openness
 ,trm_523f5f918cb2c,openness
v,trm_523f5f918cb2c,openness
e,trm_523f5f918cb2c,openness
",",trm_523f5f918cb2c,openness
 ,trm_523f5f918cb2c,openness
o,trm_523f5f918cb2c,openness
p,trm_523f5f918cb2c,openness
e,trm_523f5f918cb2c,openness
n,trm_523f5f918cb2c,openness
",",trm_523f5f918cb2c,openness
i,trm_4fb2c38960950,optical illusion
o,trm_4fb2c38960950,optical illusion
n,trm_4fb2c38960950,optical illusion
l,trm_4a3fd79d0ba19,articulatory loop
l,trm_52405e33adafa,paranoia
u,trm_52405e33adafa,paranoia
s,trm_52405e33adafa,paranoia
i,trm_52405e33adafa,paranoia
o,trm_52405e33adafa,paranoia
n,trm_52405e33adafa,paranoia
a,trm_52405e33adafa,paranoia
l,trm_52405e33adafa,paranoia
o,trm_4a3fd79d0ba19,articulatory loop
 ,trm_4a3fd79d0ba19,articulatory loop
d,trm_52405e33adafa,paranoia
A,tsk_4a57abb949f12,wechsler adult intelligence scale - revised
W,tsk_4a57abb949f12,wechsler adult intelligence scale - revised
k,trm_4f2449bdcb0b1,wason card selection task
c,trm_4a3fd79d0ab70,pavlovian conditioning
l,trm_4a3fd79d0ab70,pavlovian conditioning
a,trm_4a3fd79d0ab70,pavlovian conditioning
s,trm_4a3fd79d0ab70,pavlovian conditioning
s,trm_4a3fd79d0ab70,pavlovian conditioning
i,trm_4a3fd79d0ab70,pavlovian conditioning
e,trm_52405e33adafa,paranoia
o,trm_4a3fd79d0ba19,articulatory loop
I,tsk_4a57abb949f12,wechsler adult intelligence scale - revised
a,trm_4e6127bd91be9,pain habituation
A,trm_510059e54b2cf,attentional bias
n,trm_4f241ee9c4e37,word-picture matching task
g,trm_4f241ee9c4e37,word-picture matching task
 ,trm_4f241ee9c4e37,word-picture matching task
p,trm_4e6127bd91be9,pain habituation
a,trm_4e6127bd91be9,pain habituation
i,trm_4e6127bd91be9,pain habituation
n,trm_4e6127bd91be9,pain habituation
 ,trm_4e6127bd91be9,pain habituation
d,trm_4e6127bd91be9,pain habituation
p,trm_4a3fd79d0ba19,articulatory loop
a,trm_4e6127bd91be9,pain habituation
p,trm_4e6127bd91be9,pain habituation
t,trm_4e6127bd91be9,pain habituation
a,trm_4e6127bd91be9,pain habituation
t,trm_4e6127bd91be9,pain habituation
i,trm_4e6127bd91be9,pain habituation
o,trm_4e6127bd91be9,pain habituation
n,trm_4e6127bd91be9,pain habituation
t,trm_4f241ee9c4e37,word-picture matching task
t,trm_4a3fd79d0a886,melody
e,trm_557b474e2b578,auditory tone detection
t,trm_557b474e2b578,auditory tone detection
 ,trm_4da63357e4999,wechsler memory scale (iv)
o,trm_523ca7e778c50,internalizing
r,trm_523ca7e778c50,internalizing
r,trm_523ca7e778c50,internalizing
y,trm_523ca7e778c50,internalizing
",",trm_523ca7e778c50,internalizing
 ,trm_523ca7e778c50,internalizing
a,trm_523ca7e778c50,internalizing
n,trm_523ca7e778c50,internalizing
x,trm_523ca7e778c50,internalizing
i,trm_523ca7e778c50,internalizing
e,trm_523ca7e778c50,internalizing
t,trm_523ca7e778c50,internalizing
y,trm_523ca7e778c50,internalizing
",",trm_523ca7e778c50,internalizing
 ,trm_523ca7e778c50,internalizing
n,trm_523ca7e778c50,internalizing
e,trm_523ca7e778c50,internalizing
